joint_idx,joint_name,data_points,time_span,mean_error,std_error,max_abs_error,rms_error,mean_target_pos,std_target_pos,mean_actual_pos,std_actual_pos,mean_target_vel,std_target_vel,mean_actual_vel,std_actual_vel,mean_compute_torque,max_compute_torque,sampling_frequency
0,left_hip_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.724285,0.010042,0.724285,0.010042,0.000000,0.000000,-7.577035,0.068171,0.000000,0.000000,49.811560
1,left_hip_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-0.989287,0.011173,-0.989287,0.011173,0.000000,0.000000,-16.061779,0.104264,0.000000,0.000000,49.811560
2,left_hip_yaw_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.901461,0.004003,0.901461,0.004003,0.000000,0.000000,-12.189657,0.125077,0.000000,0.000000,49.811560
3,left_knee_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-1.651878,0.008051,-1.651878,0.008051,0.000000,0.000000,1.991670,0.093079,0.000000,0.000000,49.811560
4,left_ankle_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-0.944690,0.009199,-0.944690,0.009199,0.000000,0.000000,-5.293018,0.042769,0.000000,0.000000,49.811560
5,left_ankle_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,2.299938,0.011964,2.299938,0.011964,0.000000,0.000000,0.180350,0.074927,0.000000,0.000000,49.811560
6,right_hip_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-0.556620,0.008899,-0.556620,0.008899,0.000000,0.000000,8.038513,0.088500,0.000000,0.000000,49.811560
7,right_hip_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.874232,0.006435,0.874232,0.006435,0.000000,0.000000,2.692880,0.136810,0.000000,0.000000,49.811560
8,right_hip_yaw_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.176322,0.009426,0.176322,0.009426,0.000000,0.000000,-2.556722,0.099008,0.000000,0.000000,49.811560
9,right_knee_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-1.664923,0.011731,-1.664923,0.011731,0.000000,0.000000,-1.479431,0.083236,0.000000,0.000000,49.811560
10,right_ankle_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-1.943856,0.005875,-1.943856,0.005875,0.000000,0.000000,-16.909066,0.091580,0.000000,0.000000,49.811560
11,right_ankle_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,1.839120,0.014743,1.839120,0.014743,0.000000,0.000000,-2.270124,0.064775,0.000000,0.000000,49.811560
12,waist_yaw_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.110144,0.009838,0.110144,0.009838,0.000000,0.000000,14.369324,0.062263,0.000000,0.000000,49.811560
13,waist_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,1.177350,0.007708,1.177350,0.007708,0.000000,0.000000,-16.260346,0.090720,0.000000,0.000000,49.811560
14,waist_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,2.285874,0.010567,2.285874,0.010567,0.000000,0.000000,3.387386,0.044545,0.000000,0.000000,49.811560
15,left_shoulder_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-0.201109,0.004157,-0.201109,0.004157,0.000000,0.000000,0.292647,0.117100,0.000000,0.000000,49.811560
16,left_shoulder_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.634449,0.012482,0.634449,0.012482,0.000000,0.000000,4.251141,0.115173,0.000000,0.000000,49.811560
17,left_shoulder_yaw_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.292847,0.014111,0.292847,0.014111,0.000000,0.000000,9.455262,0.104466,0.000000,0.000000,49.811560
18,left_elbow_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.255105,0.010090,0.255105,0.010090,0.000000,0.000000,4.266710,0.112934,0.000000,0.000000,49.811560
19,left_wrist_roll_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,3.641686,0.008830,3.641686,0.008830,0.000000,0.000000,2.529530,0.088623,0.000000,0.000000,49.811560
20,left_wrist_pitch_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,-1.442522,0.005234,-1.442522,0.005234,0.000000,0.000000,5.797804,0.059913,0.000000,0.000000,49.811560
21,left_wrist_yaw_joint,221,4.425216,0.000000,0.000000,0.000000,0.000000,0.294722,0.006824,0.294722,0.006824,0.000000,0.000000,-18.476801,0.041638,0.000000,0.000000,49.811560
